Person;Sequence;Buffet ID;Buffet name;Serving station ID;Station name;Consumption in grams;Time from;Time to;Duration in seconds;Time between servings in seconds
B4813FE7;1;1;OAT TEST Kontrol;1;OAT;0;08:00:44;08:01:49;0;---
--;--;--;--;--;--;--;--;--;--;--
08EF6A78;1;1;OAT TEST Kontrol;1;OAT;0;08:01:49;08:06:11;258;---
--;--;--;--;--;--;--;--;--;--;--
A: 8 B: / C441B54D;1;1;OAT TEST Kontrol;1;OAT;50;08:06:11;08:06:31;16;---
A: 8 B: / C441B54D;2;1;OAT TEST Kontrol;4;RYE BREAD;152;08:10:34;08:10:34;6;262
--;--;--;--;--;--;--;--;--;--;--
A: 9 B: / 54CCB44D;1;1;OAT TEST Kontrol;1;OAT;48;08:06:31;08:06:52;12;---
A: 9 B: / 54CCB44D;2;1;OAT TEST Kontrol;2;RYE BREAD;70;08:07:02;08:07:35;12;30
--;--;--;--;--;--;--;--;--;--;--
A: 24 B: / 94E8B44D;1;1;OAT TEST Kontrol;1;OAT;38;08:06:52;08:07:12;10;---
A: 24 B: / 94E8B44D;2;1;OAT TEST Kontrol;4;RYE BREAD;146;08:07:09;08:08:16;30;17
--;--;--;--;--;--;--;--;--;--;--
A: 10 B: / 64FDB44D;1;1;OAT TEST Kontrol;1;OAT;88;08:07:12;08:07:35;17;---
A: 10 B: / 64FDB44D;2;1;OAT TEST Kontrol;2;RYE BREAD;156;08:07:35;08:07:59;11;22
--;--;--;--;--;--;--;--;--;--;--
A: 3 B: / 64FAB44D;1;1;OAT TEST Kontrol;1;OAT;48;08:07:35;08:08:30;15;---
A: 3 B: / 64FAB44D;2;1;OAT TEST Kontrol;2;RYE BREAD;0;08:07:59;08:08:29;7;23
A: 3 B: / 64FAB44D;3;1;OAT TEST Kontrol;2;RYE BREAD;74;08:08:29;08:09:05;8;29
--;--;--;--;--;--;--;--;--;--;--
A: 11 B: / B42FB64D;1;1;OAT TEST Kontrol;1;OAT;156;08:08:30;08:09:16;18;---
A: 11 B: / B42FB64D;2;1;OAT TEST Kontrol;2;RYE BREAD;226;08:09:05;08:09:36;13;35
--;--;--;--;--;--;--;--;--;--;--
A: 13 B: / 442EB54D;1;1;OAT TEST Kontrol;1;OAT;100;08:09:16;08:09:40;14;---
A: 13 B: / 442EB54D;2;1;OAT TEST Kontrol;4;RYE BREAD;120;08:09:42;08:10:34;9;26
--;--;--;--;--;--;--;--;--;--;--
A: 6 B: / A41FB54D;1;1;OAT TEST Kontrol;1;OAT;70;08:09:40;08:09:59;13;---
A: 6 B: / A41FB54D;2;1;OAT TEST Kontrol;2;RYE BREAD;194;08:10:00;08:10:23;18;19
--;--;--;--;--;--;--;--;--;--;--
A: 1 B: / 743DB54D;1;1;OAT TEST Kontrol;1;OAT;62;08:09:59;08:24:56;512;---
A: 1 B: / 743DB54D;2;1;OAT TEST Kontrol;2;RYE BREAD;186;08:10:23;08:10:23;490;23
--;--;--;--;--;--;--;--;--;--;--
REFILL / B2132EED;1;1;OAT TEST Kontrol;4;RYE BREAD;2;07:44:13;08:01:23;0;---
REFILL / B2132EED;2;1;OAT TEST Kontrol;1;OAT;-366;08:24:56;08:24:56;20;2443
--;--;--;--;--;--;--;--;--;--;--
A: 17 B: / 64CCB44D;1;1;OAT TEST Kontrol;2;RYE BREAD;118;08:06:15;08:06:46;6;---
A: 17 B: / 64CCB44D;2;1;OAT TEST Kontrol;3;OAT;102;08:06:36;08:06:59;17;20
--;--;--;--;--;--;--;--;--;--;--
A: 5 B: / B4F9B44D;1;1;OAT TEST Kontrol;2;RYE BREAD;96;08:06:46;08:07:02;10;---
A: 5 B: / B4F9B44D;2;1;OAT TEST Kontrol;3;OAT;40;08:06:59;08:07:51;31;13
--;--;--;--;--;--;--;--;--;--;--
A: 7 B: / 64CDB44D;1;1;OAT TEST Kontrol;3;OAT;56;08:09:25;08:09:42;7;---
A: 7 B: / 64CDB44D;2;1;OAT TEST Kontrol;2;RYE BREAD;96;08:09:36;08:10:00;5;10
--;--;--;--;--;--;--;--;--;--;--
CLEAN / 428923ED;1;1;OAT TEST Kontrol;3;OAT;0;07:44:15;08:06:36;1277;---
--;--;--;--;--;--;--;--;--;--;--
A: 22 B: / 74FDB44D;1;1;OAT TEST Kontrol;3;OAT;70;08:07:51;08:08:49;19;---
A: 22 B: / 74FDB44D;2;1;OAT TEST Kontrol;4;RYE BREAD;116;08:08:16;08:09:10;11;24
--;--;--;--;--;--;--;--;--;--;--
A: 12 B: / 3407B54D;1;1;OAT TEST Kontrol;3;OAT;54;08:08:49;08:09:25;13;---
A: 12 B: / 3407B54D;2;1;OAT TEST Kontrol;4;RYE BREAD;58;08:09:10;08:09:24;9;20
--;--;--;--;--;--;--;--;--;--;--
A: 4 B: / 3415B64D;1;1;OAT TEST Kontrol;4;RYE BREAD;138;08:09:24;08:09:42;11;---
A: 4 B: / 3415B64D;2;1;OAT TEST Kontrol;3;OAT;90;08:09:42;08:09:42;11;18
--;--;--;--;--;--;--;--;--;--;--
1F438CD0;1;1;OAT TEST Kontrol;4;RYE BREAD;0;08:01:23;08:07:09;250;---
--;--;--;--;--;--;--;--;--;--;--
