Gender;Husstandny;husstand;FamilieIndkomst_4grupper;USDA_foodinsecurity_DICH;DQS_Cat;A65;LifeSatisfaction;HighPsychDistress;Kessler_raw;pervgt
1;6;4;1;1;2;8;1;0;0;38
1;6;4;1;0;2;5;0;0;0;39
1;4;3;1;0;2;5;0;1;24;91
1;1;1;1;0;2;4;0;0;4;1909
1;4;3;1;0;2;7;0;0;1;69
1;4;3;1;0;2;9;1;0;0;33
1;2;2;1;0;2;7;0;0;7;69
1;2;2;1;0;1;7;0;0;3;91
1;3;3;4;0;3;9;1;0;1;2886
1;2;2;3;0;2;8;1;0;2;2424
1;4;3;4;0;2;8;1;0;0;2708
1;6;4;1;1;1;4;0;1;16;33
1;3;3;4;0;2;3;0;0;5;2110
1;6;4;3;0;2;10;1;0;5;497
1;1;1;1;0;2;6;0;0;2;2583
1;2;2;1;0;2;3;0;0;10;53
1;8;4;4;0;3;5;0;0;1;214
1;2;2;2;0;2;9;1;0;1;3397
1;2;2;3;0;2;10;1;0;0;2424
1;2;2;1;1;1;5;0;0;9;47
1;2;2;1;0;2;9;1;0;1;91
1;1;1;2;0;1;7;0;#NULL!;#NULL!;1919
1;7;4;1;0;2;3;0;0;6;503
1;3;3;3;0;2;7;0;0;2;2626
1;4;3;1;0;2;8;1;0;5;66
1;2;2;4;0;1;7;0;0;1;2424
1;2;2;1;0;2;9;1;0;0;66
1;2;2;2;0;1;6;0;1;17;3780
1;6;4;2;0;2;2;0;0;6;263
1;1;1;2;0;2;9;1;0;1;3622
1;2;2;1;0;1;7;0;0;3;38
1;1;1;1;0;2;10;1;0;0;2483
1;4;3;4;0;2;7;0;0;2;2110
1;1;1;2;0;2;7;0;0;0;2322
1;1;1;2;0;1;9;1;0;3;2350
1;4;3;3;0;2;8;1;#NULL!;#NULL!;1668
1;6;4;3;0;2;9;1;0;1;249
1;2;2;2;1;3;7;0;1;14;2242
1;4;3;4;1;2;8;1;0;8;3033
1;5;3;1;0;2;9;1;0;0;47
1;3;3;1;0;2;9;1;0;1;47
1;6;4;1;0;2;10;1;0;0;67
1;6;4;1;1;2;6;0;0;11;67
1;1;1;1;1;1;6;0;0;8;3453
1;1;1;2;0;2;7;0;0;0;2492
1;2;2;1;0;2;9;1;0;0;91
1;5;3;4;0;2;8;1;0;3;3033
1;1;1;3;0;2;9;1;0;7;2105
1;3;3;4;1;1;7;0;0;6;2886
1;2;2;3;0;2;8;1;0;4;1946
1;5;3;1;0;2;10;1;0;2;50
1;2;2;1;0;1;10;1;0;0;55
1;2;2;4;0;3;8;1;0;2;2129
1;2;2;1;0;3;9;1;0;2;55
1;3;3;4;0;2;8;1;0;2;1668
1;2;2;1;0;3;9;1;0;2;91
1;2;2;1;0;2;10;1;0;2;54
1;6;4;3;0;1;7;0;0;3;263
1;2;2;1;0;1;8;1;0;1;55
1;2;2;1;0;1;6;0;0;7;1890
1;2;2;1;0;1;8;1;0;0;79
1;1;1;2;0;2;8;1;0;3;4025
1;4;3;4;0;2;7;0;0;7;2276
1;1;1;1;0;2;8;1;0;0;3453
1;6;4;2;0;2;8;1;0;0;349
1;6;4;3;0;1;7;0;0;3;322
1;1;1;1;0;2;98;0;0;0;2257
1;4;3;1;0;2;8;1;0;2;1678
1;4;3;4;0;2;5;0;0;6;2276
1;1;1;1;0;1;10;1;0;0;26
1;4;3;2;0;3;7;0;0;3;2129
1;1;1;3;0;2;9;1;0;1;2657
1;4;3;3;0;2;8;1;0;2;2955
1;3;3;1;0;2;9;1;0;3;35
1;2;2;1;0;1;6;0;0;8;3453
1;8;4;1;0;2;8;1;0;10;38
1;2;2;1;0;2;9;1;0;0;47
1;1;1;3;0;1;5;0;0;2;314
1;8;4;4;0;3;8;1;0;0;214
1;6;4;1;0;2;8;1;0;3;285
1;3;3;1;0;2;7;0;1;24;101
1;1;1;3;0;3;10;1;0;0;2105
1;3;3;4;0;2;10;1;0;0;2708
1;2;2;1;0;2;5;0;0;0;69
1;5;3;1;0;3;10;1;0;2;50
1;2;2;1;0;2;9;1;0;0;52
1;2;2;1;0;2;10;1;0;0;69
1;7;4;3;0;2;8;1;0;1;299
1;5;3;4;0;2;7;0;0;1;228
1;3;3;1;0;2;6;0;0;4;52
1;7;4;1;0;2;6;0;0;0;58
1;4;3;1;0;2;8;1;0;5;33
1;2;2;1;0;2;8;1;0;4;72
1;2;2;1;0;2;7;0;0;0;50
1;1;1;3;0;2;5;0;0;6;2105
1;2;2;2;0;2;9;1;0;3;3215
1;1;1;2;0;2;6;0;0;6;1946
1;3;3;4;0;2;8;1;0;1;1668
1;5;3;3;0;2;7;0;0;1;2606
1;6;4;1;0;1;7;0;0;8;80
